行 61: 控件 cmdCancelTicket 的类 RTComctl3.CoolButton 不是一个已加载的控件类。
行 67: 属性名 _ExtentX 在 cmdCancelTicket 中是无效的。
行 68: 属性名 _ExtentY 在 cmdCancelTicket 中是无效的。
行 69: 属性名 BTYPE 在 cmdCancelTicket 中是无效的。
行 70: 属性名 TX 在 cmdCancelTicket 中是无效的。
行 71: 属性名 ENAB 在 cmdCancelTicket 中是无效的。
行 81: 属性名 COLTYPE 在 cmdCancelTicket 中是无效的。
行 82: 属性名 FOCUSR 在 cmdCancelTicket 中是无效的。
行 83: 属性名 BCOL 在 cmdCancelTicket 中是无效的。
行 84: 属性名 BCOLO 在 cmdCancelTicket 中是无效的。
行 85: 属性名 FCOL 在 cmdCancelTicket 中是无效的。
行 86: 属性名 FCOLO 在 cmdCancelTicket 中是无效的。
行 87: 属性名 MCOL 在 cmdCancelTicket 中是无效的。
行 88: 属性名 MPTR 在 cmdCancelTicket 中是无效的。
行 89: 属性名 MICON 在 cmdCancelTicket 中是无效的。
行 90: 属性名 UMCOL 在 cmdCancelTicket 中是无效的。
行 91: 属性名 SOFT 在 cmdCancelTicket 中是无效的。
行 92: 属性名 PICPOS 在 cmdCancelTicket 中是无效的。
行 93: 属性名 NGREY 在 cmdCancelTicket 中是无效的。
行 94: 属性名 FX 在 cmdCancelTicket 中是无效的。
行 95: 属性名 HAND 在 cmdCancelTicket 中是无效的。
行 96: 属性名 CHECK 在 cmdCancelTicket 中是无效的。
行 97: 属性名 VALUE 在 cmdCancelTicket 中是无效的。
